"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Coal|w/ CCS","EJ/yr",0,0,0,0,0.2814,0.5885,0.6816,0.8792000000000001,0.7852
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Gas","EJ/yr",2.8766000000000003,2.1109,2.3819999999999997,2.6656,2.821,2.8923,2.8493,2.5283,2.1098
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",2.1586,3.0561000000000003,3.6347,4.7413,6.3338,6.9639000000000015,10.6036,11.9555,13.1319
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Solar","EJ/yr",0.1587,0.4903,0.7883,1.0457,1.7307,1.9688,3.4303,4.0206,4.5424
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Fossil","EJ/yr",6.3428,5.3734,5.5318,4.8927999999999985,4.4577,4.4741,4.035,3.6419,3.0588
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Biomass","EJ/yr",0.47700000000000004,0.6503,0.7149,0.7793,0.8523000000000001,0.9422,1.1352000000000002,1.4025,1.7385000000000002
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr",3.0983,3.0137,2.8819,1.9602,1.1117,0.7129,0.2892,0.0447,0
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Oil","EJ/yr",0.3678999999999999,0.2488,0.268,0.2672,0.2436,0.2804,0.2148999999999999,0.1896,0.1636999999999999
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity","EJ/yr",12.0965,12.0298,13.1385,14.0097,15.6143,16.6939,20.5372,22.259,23.5314
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Secondary Energy|Electricity|Coal","EJ/yr",3.0983,3.0137,2.8819,1.9602,1.3931,1.3014,0.9708,0.9239,0.7852
