"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,17.3044,17.8047,18.3365,18.2116,18.0629,18.2341,18.4317,18.4733,18.672,18.7476,18.7674,18.7436,18.8273
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.974,6.9042,7.360900000000001,6.8945,7.3019,7.7296,7.8049,7.8767999999999985,8.1266,8.404499999999999,8.5906,8.841000000000001,9.0217,9.1726,9.3006,9.4817
"AIM/CGE 2.2","EN_INDCi2030_1000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,10.41,10.5028,10.607000000000001,10.4068,10.186,10.1077,10.0272,9.8827,9.831,9.7259,9.5948,9.443,9.3455
"AIM/CGE 2.2","EN_INDCi2030_1200","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,17.3714,17.9496,18.3867,18.2925,18.0489,18.2403,18.4507,18.6114,18.6917,18.7053,18.6829,18.628500000000006,18.6651
"AIM/CGE 2.2","EN_INDCi2030_1200","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_INDCi2030_1200","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.974,6.9042,7.360900000000001,6.9293,7.379,7.7561,7.8462,7.867000000000001,8.1255,8.391,8.6237,8.8128,8.9628,9.094,9.2073,9.3626
"AIM/CGE 2.2","EN_INDCi2030_1200","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,10.4422,10.5707,10.6306,10.4463,10.1817,10.1147,10.0597,9.9877,9.8789,9.7425,9.5889,9.4213,9.3026
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,17.7418,18.3797,18.6484,18.5846,18.1024,18.0723,18.3855,18.5558,18.51,18.672,18.7162,18.7093,18.7968
"AIM/CGE 2.2","EN_INDCi2030_1200f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
